	num_ancestors	num_children	a/(a+c)	frecuencia relativa	c/(a+c)	exp(-c)	log(1+a)
HP:0012373	3.0	530.0	0.005628517823639775	0.4988814317673378	0.9943714821763602	6.666909982697905e-231	0.6020599913279624
HP:0012375	9.0	0.0	1.0	0.0002033760423022168	0.0	1.0	1.0
HP:0012376	10.0	0.0	1.0	0.0006101281269066504	0.0	1.0	1.0413926851582251
HP:0012377	7.0	6.0	0.5384615384615384	0.01138905836892414	0.46153846153846156	0.0024787521766663585	0.9030899869919435
HP:0012378	3.0	3.0	0.5	0.07545251169412243	0.5	0.04978706836786394	0.6020599913279624
HP:0012379	4.0	134.0	0.028985507246376812	0.12426276184665447	0.9710144927536232	6.375869581278994e-59	0.6989700043360189
HP:0012380	5.0	0.0	1.0	0.0002033760423022168	0.0	1.0	0.7781512503836436
HP:0012381	6.0	0.0	1.0	NaN	0.0	1.0	0.8450980400142568
HP:0012382	6.0	0.0	1.0	0.002033760423022168	0.0	1.0	0.8450980400142568
HP:0012383	6.0	0.0	1.0	0.0004067520846044336	0.0	1.0	0.8450980400142568
HP:0012384	6.0	4.0	0.6	0.017693715680292862	0.4	0.01831563888873418	0.8450980400142568
HP:0012385	15.0	14.0	0.5172413793103449	0.06263982102908278	0.4827586206896552	8.315287191035679e-07	1.2041199826559248
HP:0012386	23.0	0.0	1.0	0.0004067520846044336	0.0	1.0	1.3802112417116061
HP:0012387	6.0	4.0	0.6	0.014236322961155175	0.4	0.01831563888873418	0.8450980400142568
HP:0012388	7.0	0.0	1.0	NaN	0.0	1.0	0.9030899869919435
HP:0012389	7.0	0.0	1.0	0.003050640634533252	0.0	1.0	0.9030899869919435
HP:0012390	8.0	0.0	1.0	0.001016880211511084	0.0	1.0	0.9542425094393249
HP:0012391	10.0	3.0	0.7692307692307693	0.0018303843807199512	0.23076923076923078	0.04978706836786394	1.0413926851582251
HP:0012392	17.0	0.0	1.0	NaN	0.0	1.0	1.255272505103306
HP:0012393	5.0	27.0	0.15625	0.007931665649786455	0.84375	1.8795288165390832e-12	0.7781512503836436
HP:0012394	6.0	0.0	1.0	NaN	0.0	1.0	0.8450980400142568
HP:0012395	6.0	0.0	1.0	NaN	0.0	1.0	0.8450980400142568
HP:0012396	8.0	2.0	0.8	NaN	0.2	0.13533528323661267	0.9542425094393249
