gen,especificidad,capitalidad,similaridad
10,1.0,1.0,1.0
16,0.8018018018018018,0.89,0.7295081967213115
18,0.7777777777777778,0.875,0.7
19,0.8043478260869565,0.8809523809523809,0.7254901960784313
20,0.8,0.8571428571428571,0.7058823529411765
21,0.7916666666666666,0.8837209302325582,0.7169811320754716
22,0.782608695652174,0.9,0.72
24,0.7931034482758621,0.8846153846153846,0.71875
25,0.8064516129032258,0.8928571428571429,0.7352941176470589
31,0.8,1.0,0.8
34,0.8043478260869565,0.8809523809523809,0.7254901960784313
35,0.8,0.8888888888888888,0.7272727272727273
36,0.8,0.8571428571428571,0.7058823529411765
37,0.8,0.896551724137931,0.7323943661971831
38,0.8,0.9,0.7346938775510204
39,0.8571428571428571,0.8571428571428571,0.75
50,0.8125,0.896551724137931,0.7428571428571429
51,0.796875,0.8947368421052632,0.7285714285714285
54,0.8043478260869565,0.891566265060241,0.7326732673267327
58,0.8,0.8918918918918919,0.7292817679558011
59,0.8028169014084507,0.890625,0.7307692307692307
60,0.796875,0.8869565217391304,0.723404255319149
70,0.8,0.8888888888888888,0.7272727272727273
71,0.8051948051948052,0.8857142857142857,0.7294117647058823
72,0.7924528301886793,0.8936170212765957,0.7241379310344828
81,0.7916666666666666,0.9047619047619048,0.7307692307692307
87,0.8571428571428571,0.8571428571428571,0.75
88,0.7959183673469388,0.8863636363636364,0.7222222222222222
90,0.7894736842105263,0.8823529411764706,0.7142857142857143
93,0.8235294117647058,0.875,0.7368421052631579
94,0.8,0.896551724137931,0.7323943661971831
95,0.7857142857142857,0.88,0.7096774193548387
100,0.7972972972972973,0.8939393939393939,0.7283950617283951
102,1.0,1.0,1.0
103,0.8032786885245902,0.8909090909090909,0.7313432835820896
104,0.7878787878787878,0.896551724137931,0.7222222222222222
107,1.0,1.0,1.0
109,0.7692307692307693,0.9090909090909091,0.7142857142857143
111,0.7916666666666666,0.8837209302325582,0.7169811320754716
112,0.7692307692307693,0.9090909090909091,0.7142857142857143
118,0.75,1.0,0.75
120,0.8,0.8888888888888888,0.7272727272727273
125,1.0,1.0,1.0
126,0.8125,0.896551724137931,0.7428571428571429
128,0.8095238095238095,0.8947368421052632,0.7391304347826086
132,0.8125,0.896551724137931,0.7428571428571429
135,0.8333333333333334,0.9090909090909091,0.7692307692307693
151,0.75,0.8571428571428571,0.6666666666666666
153,1.0,1.0,1.0
154,0.8,0.8888888888888888,0.7272727272727273
155,0.8333333333333334,0.8333333333333334,0.7142857142857143
158,0.8043478260869565,0.8809523809523809,0.7254901960784313
162,0.8,0.8888888888888888,0.7272727272727273
164,0.8048780487804879,0.8918918918918919,0.7333333333333333
165,0.8024691358024691,0.8904109589041096,0.7303370786516854
174,0.75,1.0,0.75
175,0.8051948051948052,0.8857142857142857,0.7294117647058823
176,0.8,0.8888888888888888,0.7272727272727273
178,0.7916666666666666,0.9047619047619048,0.7307692307692307
181,0.8333333333333334,0.8333333333333334,0.7142857142857143
182,0.7961165048543689,0.8913043478260869,0.7256637168141593
183,0.8,0.8571428571428571,0.7058823529411765
185,0.8,0.8571428571428571,0.7058823529411765
189,0.8095238095238095,0.8947368421052632,0.7391304347826086
190,0.7971014492753623,0.8870967741935484,0.7236842105263158
191,0.8,0.88,0.7213114754098361
196,0.7931034482758621,0.8846153846153846,0.71875
197,0.8148148148148148,0.88,0.7333333333333333
203,1.0,1.0,1.0
204,0.8148148148148148,0.88,0.7333333333333333
207,0.8,0.8888888888888888,0.7272727272727273
208,0.8125,0.896551724137931,0.7428571428571429
210,0.7962962962962963,0.8958333333333334,0.7288135593220338
212,0.782608695652174,0.9,0.72
213,0.8064516129032258,0.8928571428571429,0.7352941176470589
215,0.8015267175572519,0.8898305084745762,0.7291666666666666
217,0.6666666666666666,1.0,0.6666666666666666
220,0.8125,0.8666666666666667,0.7222222222222222
224,0.8043478260869565,0.8809523809523809,0.7254901960784313
